Program,STACKING,NB,J48,KNN,SMO
activemq-5.0.0-first,0.238853528,0.29227235221463427,0.15365900289208695,0.2492013157171968,0.2976998174020746
activemq-5.3.0-penultimate,0.270565536,0.28320141047730923,0.23804547294988113,0.23109793826861713,0.29335588066476614
derby-10.2.1.6-first,0.22177613,0.3705944802346374,0.23614336639928027,0.15508126692327442,-0.05300003663951097
derby-10.3.1.4-penultimate,0.308315674,0.3670947784216103,0.3018430137702785,0.282055065525061,0.38192277208120984
groovy-1_5_7-first,0.220394201,0.20814120297899094,0.3136668702420953,0.3332617642176668,0.24300732799830976
groovy-1_6_BETA_1-penultimate,0.272159019,0.20822520045271445,0.2583161279234716,0.4676495051324787,0.256797129921988
hbase-0.94.0-first,0.2451027,0.0716238758942647,0.26750885700837895,0.24799402443104326,0.3050216277253751
hbase-0.95.0-penultimate,0.190482161,0.32635035651702754,0.25869620657537384,0.20441488934355825,0.3113258676799623
hive-0.10.0-penultimate,0.268236087,0.17978562634475298,0.26385504863244147,0.1879835088801126,0.22642220002224733
hive-0.9.0-first,0.097611639,0.207812218946004,0.1942705515625764,0.07385980864423257,0.22467631081479086
jruby-1.1-first,0.162784359,0.21519652474406498,0.3019336444080435,0.2888800830612128,0.2044495537259215
jruby-1.5.0-penultimate,0.099072057,0.1663076132193175,0.28449440292110806,0.2724445743248956,0.1738337580408693
lucene-2.3.0-first,0.122160442,0.17729120637847523,0.1339522202343689,0.11208416944751519,0.12382419094472735
lucene-3.0.0-penultimate,0.090665132,0.187718357929236,0.044721961260013945,0.13733088239535057,-0.0037594474083078523
wicket-1.3.0-beta2-penultimate,-0.004059059,0.18908609119989106,0.09824548631297765,0.10538817355984786,0.12472784606267744
wicket-1.3.0-incubating-beta-1-first,0.13364263,0.18118163426708764,0.19589892207474902,0.15596478689522683,0.14740764840646287
