@relation ant-1.5-clean-sorted

@attribute id numeric
@attribute name {ant}
@attribute version numeric
@attribute name.1 {org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff,org.apache.tools.ant.taskdefs.Javadoc,org.apache.tools.ant.taskdefs.Zip,org.apache.tools.ant.taskdefs.War,org.apache.tools.ant.taskdefs.condition.Http,org.apache.tools.ant.taskdefs.FixCRLF,org.apache.tools.ant.taskdefs.Expand,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,org.apache.tools.ant.taskdefs.AbstractCvsTask,org.apache.tools.ant.taskdefs.ExecuteJava,org.apache.tools.ant.TaskAdapter,org.apache.tools.ant.taskdefs.XmlProperty,org.apache.tools.ant.XmlLogger,org.apache.tools.ant.ExitException,org.apache.tools.ant.taskdefs.ProcessDestroyer,org.apache.tools.ant.taskdefs.Java,org.apache.tools.ant.taskdefs.Tar,org.apache.tools.ant.taskdefs.PumpStreamHandler,org.apache.tools.ant.taskdefs.execute,org.apache.tools.ant.util.FileUtils,org.apache.tools.ant.types.XMLCatalog,org.apache.tools.ant.taskdefs.Ant,org.apache.tools.ant.taskdefs.XSLTProcess,org.apache.tools.ant.taskdefs.Ear,org.apache.tools.ant.types.ZipFileSet,org.apache.tools.ant.taskdefs.SQLExec,org.apache.tools.ant.taskdefs.ExecTask,org.apache.tools.ant.taskdefs.Input,org.apache.tools.ant.Main,org.apache.tools.ant.taskdefs.Replace,org.apache.tools.ant.taskdefs.email.EmailTask,org.apache.tools.ant.taskdefs.email.Message,org.apache.tools.ant.types.selectors.DateSelector,org.apache.tools.ant.Target,org.apache.tools.ant.taskdefs.Checksum,org.apache.tools.ant.types.FileSet,org.apache.tools.ant.types.FilterChain,org.apache.tools.ant.util.IdentityMapper,org.apache.tools.ant.taskdefs.compilers.Javac12,org.apache.tools.ant.util.PackageNameMapper,org.apache.tools.ant.IntrospectionHelper,org.apache.tools.ant.types.Parameter,org.apache.tools.ant.listener.AnsiColorLogger,org.apache.tools.ant.filters.StringInputStream,org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter,org.apache.tools.ant.types.selectors.ContainsSelector,org.apache.tools.ant.Task,org.apache.tools.ant.taskdefs.compilers.Jikes,org.apache.tools.ant.taskdefs.BuildNumber,org.apache.tools.ant.taskdefs.compilers.Kjc,org.apache.tools.ant.filters.util.ChainReaderHelper,org.apache.tools.ant.DirectoryScanner,org.apache.tools.ant.types.selectors.OrSelector,org.apache.tools.ant.input.PropertyFileInputHandler,org.apache.tools.bzip2.CRC,org.apache.tools.ant.taskdefs.ExecuteWatchdog,org.apache.tools.ant.taskdefs.condition.IsSet,org.apache.tools.ant.types.Commandline,org.apache.tools.ant.types.selectors.NotSelector,org.apache.tools.ant.filters.LineContainsRegExp,org.apache.tools.ant.taskdefs.LogStreamHandler,org.apache.tools.tar.TarUtils,org.apache.tools.ant.util.regexp.Regexp,org.apache.tools.ant.util.facade.FacadeTaskHelper,org.apache.tools.ant.taskdefs.Mkdir,org.apache.tools.ant.types.selectors.SelectSelector,org.apache.tools.ant.util.FileNameMapper,org.apache.tools.ant.taskdefs.Patch,org.apache.tools.ant.taskdefs.Basename,org.apache.tools.ant.taskdefs.StreamPumper,org.apache.tools.ant.types.RegularExpression,org.apache.tools.ant.taskdefs.Cvs,org.apache.tools.zip.ZipExtraField,org.apache.tools.ant.util.facade.ImplementationSpecificArgument,org.apache.tools.ant.types.selectors.NoneSelector,org.apache.tools.ant.taskdefs.Rename,org.apache.tools.ant.taskdefs.KeySubst,org.apache.tools.ant.taskdefs.condition.FilesMatch,org.apache.tools.ant.filters.ExpandProperties,org.apache.tools.ant.taskdefs.condition.IsFalse,org.apache.tools.ant.types.selectors.PresentSelector,org.apache.tools.ant.types.FilterSetCollection,org.apache.tools.ant.taskdefs.GenerateKey,org.apache.tools.ant.input.MultipleChoiceInputRequest,org.apache.tools.ant.types.Mapper,org.apache.tools.ant.types.selectors.MajoritySelector,org.apache.tools.ant.types.DataType,org.apache.tools.ant.types.FileList,org.apache.tools.zip.ZipEntry,org.apache.tools.ant.taskdefs.Jikes,org.apache.tools.ant.types.selectors.SelectorUtils,org.apache.tools.ant.DynamicConfigurator,org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,org.apache.tools.bzip2.BZip2Constants,org.apache.tools.ant.DemuxOutputStream,org.apache.tools.tar.TarBuffer,org.apache.tools.ant.taskdefs.ConditionTask,org.apache.tools.ant.taskdefs.JDBCTask,org.apache.tools.ant.taskdefs.cvslib.CVSEntry,org.apache.tools.ant.types.selectors.AndSelector,org.apache.tools.ant.types.selectors.BaseSelector,org.apache.tools.ant.taskdefs.Property,org.apache.tools.ant.FileScanner,org.apache.tools.ant.util.DOMElementWriter,org.apache.tools.ant.util.regexp.RegexpMatcherFactory,org.apache.tools.ant.taskdefs.condition.Os,org.apache.tools.ant.taskdefs.condition.Or,org.apache.tools.ant.taskdefs.rmic.KaffeRmic,org.apache.tools.ant.input.InputRequest,org.apache.tools.ant.util.Watchdog,org.apache.tools.ant.taskdefs.SendEmail,org.apache.tools.ant.taskdefs.PathConvert,org.apache.tools.ant.taskdefs.CallTarget,org.apache.tools.ant.taskdefs.LogOutputStream,org.apache.tools.ant.taskdefs.compilers.Jvc,org.apache.tools.zip.ZipLong,org.apache.tools.ant.taskdefs.rmic.RmicAdapter,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.taskdefs.TempFile,org.apache.tools.ant.filters.util.JavaClassHelper,org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry,org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,org.apache.tools.ant.util.regexp.RegexpFactory,org.apache.tools.zip.ZipShort,org.apache.tools.ant.BuildListener,org.apache.tools.ant.taskdefs.Pack,org.apache.tools.ant.taskdefs.condition.IsTrue,org.apache.tools.ant.types.selectors.BaseExtendSelector,org.apache.tools.ant.taskdefs.cvslib.CvsUser,org.apache.tools.ant.taskdefs.BZip2,org.apache.tools.ant.util.CollectionUtils,org.apache.tools.ant.util.regexp.RegexpUtil,org.apache.tools.bzip2.CBZip2InputStream,org.apache.tools.ant.taskdefs.Rmic,org.apache.tools.ant.taskdefs.TaskOutputStream,org.apache.tools.mail.ErrorInQuitException,org.apache.tools.ant.taskdefs.cvslib.RCSFile,org.apache.tools.ant.taskdefs.Move,org.apache.tools.ant.types.Description,org.apache.tools.ant.Location,org.apache.tools.ant.taskdefs.compilers.JavacExternal,org.apache.tools.ant.util.FlatFileNameMapper,org.apache.tools.ant.taskdefs.Transform,org.apache.tools.ant.util.GlobPatternMapper,org.apache.tools.ant.util.MergingMapper,org.apache.tools.ant.types.AbstractFileSet,org.apache.tools.ant.taskdefs.email.Mailer,org.apache.tools.ant.taskdefs.UpToDate,org.apache.tools.ant.util.JavaEnvUtils,org.apache.tools.ant.filters.StripJavaComments,org.apache.tools.mail.SmtpResponseReader,org.apache.tools.ant.taskdefs.LoadFile,org.apache.tools.ant.taskdefs.Recorder,org.apache.tools.ant.util.JAXPUtils,org.apache.tools.ant.taskdefs.Filter,org.apache.tools.ant.taskdefs.ManifestTask,org.apache.tools.ant.types.DTDLocation,org.apache.tools.ant.taskdefs.Copy,org.apache.tools.ant.taskdefs.MatchingTask,org.apache.tools.ant.filters.LineContains,org.apache.tools.ant.types.Substitution,org.apache.tools.zip.AsiExtraField,org.apache.tools.ant.taskdefs.Untar,org.apache.tools.ant.types.CommandlineJava,org.apache.tools.ant.taskdefs.Delete,org.apache.tools.ant.taskdefs.Jar,org.apache.tools.ant.BuildEvent,org.apache.tools.ant.taskdefs.Concat,org.apache.tools.ant.listener.MailLogger,org.apache.tools.ant.taskdefs.XSLTLoggerAware,org.apache.tools.ant.taskdefs.Typedef,org.apache.tools.ant.types.FlexInteger,org.apache.tools.ant.taskdefs.Sleep,org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter,org.apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler,org.apache.tools.ant.types.Reference,org.apache.tools.ant.taskdefs.Chmod,org.apache.tools.ant.util.StringUtils,org.apache.tools.ant.filters.PrefixLines,org.apache.tools.ant.taskdefs.compilers.Javac13,org.apache.tools.ant.filters.HeadFilter,org.apache.tools.ant.NoBannerLogger,org.apache.tools.mail.MailMessage,org.apache.tools.ant.filters.BaseParamFilterReader,org.apache.tools.ant.taskdefs.XSLTLogger,org.apache.tools.ant.DefaultLogger,org.apache.tools.tar.TarInputStream,org.apache.tools.ant.filters.TailFilter,org.apache.tools.ant.input.DefaultInputHandler,org.apache.tools.ant.taskdefs.compilers.Sj,org.apache.tools.ant.taskdefs.ExecuteOn,org.apache.tools.ant.types.Environment,org.apache.tools.ant.filters.StripLineBreaks,org.apache.tools.ant.TaskContainer,org.apache.tools.ant.taskdefs.Parallel,org.apache.tools.ant.taskdefs.ExecuteStreamHandler,org.apache.tools.ant.taskdefs.Echo,org.apache.tools.ant.BuildLogger,org.apache.tools.ant.ProjectHelper,org.apache.tools.ant.taskdefs.condition.And,org.apache.tools.ant.taskdefs.SignJar,org.apache.tools.ant.types.Parameterizable,org.apache.tools.tar.TarOutputStream,org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,org.apache.tools.ant.taskdefs.LoadProperties,org.apache.tools.ant.taskdefs.DependSet,org.apache.tools.ant.types.selectors.ExtendSelector,org.apache.tools.ant.taskdefs.Available,org.apache.tools.ant.types.selectors.FileSelector,org.apache.tools.ant.types.Path,org.apache.tools.ant.filters.StripLineComments,org.apache.tools.ant.taskdefs.Sequential,org.apache.tools.ant.util.TaskLogger,org.apache.tools.ant.taskdefs.compilers.Gcj,org.apache.tools.ant.types.selectors.FilenameSelector,org.apache.tools.ant.taskdefs.GUnzip,org.apache.tools.ant.types.selectors.SelectorScanner,org.apache.tools.ant.util.KeepAliveOutputStream,org.apache.tools.ant.PathTokenizer,org.apache.tools.ant.taskdefs.Definer,org.apache.tools.ant.input.InputHandler,org.apache.tools.ant.taskdefs.BUnzip2,org.apache.tools.ant.taskdefs.condition.Condition,org.apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream,org.apache.tools.ant.taskdefs.condition.Contains,org.apache.tools.ant.taskdefs.Deltree,org.apache.tools.ant.taskdefs.Unpack,org.apache.tools.ant.taskdefs.Exec,org.apache.tools.ant.util.LoaderUtils,org.apache.tools.ant.taskdefs.AntStructure,org.apache.tools.ant.RuntimeConfigurable,org.apache.tools.ant.types.selectors.SizeSelector,org.apache.tools.ant.taskdefs.Touch,org.apache.tools.ant.helper.ProjectHelperImpl,org.apache.tools.ant.AntClassLoader,org.apache.tools.ant.types.selectors.BaseSelectorContainer,org.apache.tools.zip.ExtraFieldUtils,org.apache.tools.ant.taskdefs.Dirname,org.apache.tools.ant.types.EnumeratedAttribute,org.apache.tools.ant.util.SourceFileScanner,org.apache.tools.ant.types.FilterSet,org.apache.tools.ant.types.DirSet,org.apache.tools.ant.types.AntFilterReader,org.apache.tools.ant.taskdefs.Tstamp,org.apache.tools.tar.TarConstants,org.apache.tools.zip.UnixStat,org.apache.tools.ant.filters.ClassConstants,org.apache.tools.ant.taskdefs.ManifestException,org.apache.tools.ant.taskdefs.condition.Equals,org.apache.tools.ant.taskdefs.WaitFor,org.apache.tools.mail.MailPrintStream,org.apache.tools.ant.taskdefs.Manifest,org.apache.tools.ant.types.selectors.DependSelector,org.apache.tools.ant.taskdefs.Copydir,org.apache.tools.tar.TarEntry,org.apache.tools.ant.Diagnostics,org.apache.tools.ant.taskdefs.JikesOutputParser,org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,org.apache.tools.ant.types.PatternSet,org.apache.tools.ant.types.selectors.DepthSelector,org.apache.tools.ant.taskdefs.email.PlainMailer,org.apache.tools.ant.taskdefs.Taskdef,org.apache.tools.ant.filters.TabsToSpaces,org.apache.tools.ant.taskdefs.cvslib.ChangeLogParser,org.apache.tools.ant.util.regexp.RegexpMatcher,org.apache.tools.ant.filters.BaseFilterReader,org.apache.tools.zip.ZipOutputStream,org.apache.tools.zip.UnrecognizedExtraField,org.apache.tools.ant.UnknownElement,org.apache.tools.ant.taskdefs.CVSPass,org.apache.tools.ant.ProjectComponent,org.apache.tools.ant.taskdefs.GZip,org.apache.tools.ant.taskdefs.condition.ConditionBase,org.apache.tools.ant.filters.ReplaceTokens,org.apache.tools.ant.util.RegexpPatternMapper,org.apache.tools.ant.BuildException,org.apache.tools.ant.types.ZipScanner,org.apache.tools.ant.taskdefs.rmic.WLRmic,org.apache.tools.bzip2.CBZip2OutputStream,org.apache.tools.ant.util.DateUtils,org.apache.tools.ant.taskdefs.condition.Not,org.apache.tools.ant.types.selectors.SelectorContainer,org.apache.tools.ant.taskdefs.Exit,org.apache.tools.ant.taskdefs.Copyfile,org.apache.tools.ant.Project,org.apache.tools.ant.taskdefs.RecorderEntry,org.apache.tools.ant.taskdefs.Javac,org.apache.tools.ant.taskdefs.XSLTLiaison,org.apache.tools.ant.taskdefs.email.EmailAddress,org.apache.tools.ant.util.TimeoutObserver,org.apache.tools.ant.taskdefs.rmic.SunRmic,org.apache.tools.ant.taskdefs.condition.Socket}
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug numeric

@data
0,ant,1.5,org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff,21,3,0,8,73,74,0,8,17,0.886364,669,0.727273,2,0.649123,0.232143,1,1,30.333333,3,1.0476,1
1,ant,1.5,org.apache.tools.ant.taskdefs.Javadoc,81,3,0,35,213,2518,7,35,74,0.94,2199,0.966667,10,0.318966,0.1375,3,3,25.777778,13,1.6543,1
2,ant,1.5,org.apache.tools.ant.taskdefs.Zip,34,4,1,25,138,421,3,22,17,0.863636,1740,1,0,0.709091,0.142045,4,4,49.647059,4,1.1471,1
3,ant,1.5,org.apache.tools.ant.taskdefs.War,9,6,0,9,34,28,0,9,6,0.8125,166,1,0,0.950617,0.4,4,9,17.222222,2,1,1
4,ant,1.5,org.apache.tools.ant.taskdefs.condition.Http,4,2,0,4,15,0,1,3,4,0.333333,109,1,0,0.75,0.5,0,0,25.75,1,0.75,1
5,ant,1.5,org.apache.tools.ant.taskdefs.FixCRLF,18,4,0,12,82,83,1,12,11,0.960152,1238,1,1,0.821053,0.181818,2,2,66.055556,8,1.8333,1
6,ant,1.5,org.apache.tools.ant.taskdefs.Expand,9,3,1,11,53,16,1,10,7,0.75,457,1,0,0.822222,0.271605,2,2,49.222222,5,1.3333,1
7,ant,1.5,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,19,1,8,23,92,81,8,15,4,0.71256,899,1,9,0,0.230159,0,0,45.105263,30,4.2632,1
8,ant,1.5,org.apache.tools.ant.taskdefs.AbstractCvsTask,40,3,1,17,99,664,2,15,31,0.918193,855,0.952381,2,0.486842,0.194444,0,0,19.85,8,1.6,1
9,ant,1.5,org.apache.tools.ant.taskdefs.ExecuteJava,10,1,0,10,47,11,1,9,10,0.75,329,1,3,0,0.2125,0,0,31.1,6,1.5,1
10,ant,1.5,org.apache.tools.ant.TaskAdapter,6,3,0,7,24,9,4,4,5,0.8,231,0.5,0,0.880952,0.266667,1,1,37.166667,1,0.8333,1
11,ant,1.5,org.apache.tools.ant.taskdefs.XmlProperty,9,3,0,4,41,14,0,4,8,0.791667,334,1,0,0.822222,0.355556,1,1,35.444444,11,2,1
12,ant,1.5,org.apache.tools.ant.XmlLogger,15,1,0,12,69,39,0,12,12,0.93254,614,1,1,0,0.342857,0,0,38.733333,10,2.7333,1
13,ant,1.5,org.apache.tools.ant.ExitException,2,5,0,1,7,0,1,0,2,0,20,1,0,0.928571,0.75,0,0,8.5,1,0.5,1
14,ant,1.5,org.apache.tools.ant.taskdefs.ProcessDestroyer,5,2,0,1,20,0,1,0,4,0.75,106,0.333333,0,0.921569,0.466667,0,0,19.6,2,1,1
15,ant,1.5,org.apache.tools.ant.taskdefs.Java,31,3,0,20,103,209,0,20,25,0.82,673,1,2,0.552239,0.16129,1,3,20.387097,2,1.0323,1
16,ant,1.5,org.apache.tools.ant.taskdefs.Tar,11,4,0,17,83,11,0,17,9,0.916667,671,0.25,2,0.886364,0.25,2,2,58.909091,2,1,1
17,ant,1.5,org.apache.tools.ant.taskdefs.PumpStreamHandler,13,1,2,9,20,46,7,2,8,0.666667,111,1,0,0,0.615385,0,0,7.230769,1,0.7692,1
18,ant,1.5,org.apache.tools.ant.taskdefs.execute,24,1,0,31,85,218,12,20,18,0.776812,708,0.933333,6,0,0.13834,0,0,27.875,7,1.75,1
19,ant,1.5,org.apache.tools.ant.util.FileUtils,29,1,0,28,120,396,25,6,25,0.928571,1348,0.8,0,0,0.278571,0,0,45.310345,29,2.6207,1
20,ant,1.5,org.apache.tools.ant.types.XMLCatalog,21,3,0,10,82,184,1,9,10,0.683333,719,1,2,0.6,0.22619,1,3,33.095238,4,1.9048,1
21,ant,1.5,org.apache.tools.ant.taskdefs.Ant,19,3,0,16,117,35,1,15,11,0.823232,849,0.909091,1,0.672727,0.305263,2,3,43.105263,12,2.2105,1
22,ant,1.5,org.apache.tools.ant.taskdefs.XSLTProcess,26,4,0,18,89,219,1,18,18,0.896842,881,1,4,0.757282,0.221154,3,4,32.153846,3,1.1538,1
23,ant,1.5,org.apache.tools.ant.taskdefs.Ear,7,6,0,9,32,13,0,9,4,0.75,150,1,0,0.9625,0.4,4,9,20.142857,2,1,1
24,ant,1.5,org.apache.tools.ant.types.ZipFileSet,11,5,0,13,30,5,4,9,9,0.65,168,1,0,0.91,0.327273,2,10,13.909091,3,1.2727,1
25,ant,1.5,org.apache.tools.ant.taskdefs.SQLExec,18,4,0,13,90,87,1,13,14,0.849265,778,1,0,0.782051,0.188889,4,4,41.333333,1,0.9444,1
26,ant,1.5,org.apache.tools.ant.taskdefs.ExecTask,27,3,1,19,80,249,4,15,18,0.869231,607,1,2,0.587302,0.166667,0,0,20.925926,3,1.1481,1
27,ant,1.5,org.apache.tools.ant.taskdefs.Input,6,3,0,8,19,0,0,8,6,0.533333,88,1,0,0.880952,0.833333,0,0,13.166667,1,0.8333,1
28,ant,1.5,org.apache.tools.ant.Main,19,1,0,12,103,133,1,12,3,0.813725,1720,0.882353,0,0,0.141414,0,0,88.631579,11,2.5263,1
29,ant,1.5,org.apache.tools.ant.taskdefs.Replace,22,4,0,9,92,129,2,9,16,0.849817,837,1,3,0.787879,0.309091,2,2,36.454545,5,1.2273,1
30,ant,1.5,org.apache.tools.ant.taskdefs.email.EmailTask,23,3,1,14,73,151,1,13,23,0.921717,668,0.777778,2,0.627119,0.207729,3,3,27.26087,26,2.3913,1
31,ant,1.5,org.apache.tools.ant.taskdefs.email.Message,9,2,0,5,20,0,3,2,9,0.5,141,1,0,0.6,0.416667,0,0,14.222222,1,0.6667,1
32,ant,1.5,org.apache.tools.ant.types.selectors.DateSelector,11,5,0,11,38,1,4,7,11,0.84,391,0.5,0,0.791667,0.215909,1,4,33.636364,8,2.7273,0
33,ant,1.5,org.apache.tools.ant.Target,22,1,0,19,49,125,16,5,18,0.809524,382,1,1,0,0.309091,0,0,16.045455,8,1.7273,0
34,ant,1.5,org.apache.tools.ant.taskdefs.Checksum,15,4,0,11,72,39,1,10,12,0.714286,683,1,0,0.847826,0.277778,0,0,43.733333,1,0.9333,0
35,ant,1.5,org.apache.tools.ant.types.FileSet,3,4,2,30,8,3,26,4,2,2,27,0,0,0.988636,0.666667,3,4,8,2,0.6667,0
36,ant,1.5,org.apache.tools.ant.types.FilterChain,16,3,0,22,29,0,4,18,16,0,135,1,0,0.666667,0.125,1,1,7.375,1,0.9375,0
37,ant,1.5,org.apache.tools.ant.util.IdentityMapper,4,1,0,4,5,6,3,1,4,2,16,0,0,0,0.875,0,0,3,1,0.75,0
38,ant,1.5,org.apache.tools.ant.taskdefs.compilers.Javac12,3,2,0,8,20,3,1,7,2,1,151,0,0,0.92,0.5,0,0,48.333333,1,0.6667,0
39,ant,1.5,org.apache.tools.ant.util.PackageNameMapper,2,2,0,1,6,1,0,1,1,2,20,0,0,0.875,0.75,1,1,9,1,0.5,0
40,ant,1.5,org.apache.tools.ant.IntrospectionHelper,24,1,0,25,78,218,16,21,17,0.914783,1203,0.36,0,0,0.322981,0,0,48.083333,17,1.9167,0
41,ant,1.5,org.apache.tools.ant.types.Parameter,7,1,0,20,8,3,20,0,7,0.666667,43,1,0,0,0.714286,0,0,4.714286,1,0.8571,0
42,ant,1.5,org.apache.tools.ant.listener.AnsiColorLogger,3,2,0,1,18,0,0,1,1,1.242424,274,1,0,0.888889,0.5,1,3,79.333333,12,5.6667,0
43,ant,1.5,org.apache.tools.ant.filters.StringInputStream,6,2,0,1,15,0,1,0,6,0,45,1,0,0.642857,0.444444,1,1,6.333333,1,0.8333,0
44,ant,1.5,org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter,16,1,3,15,56,86,4,12,6,0.8,375,1,2,0,0.226667,0,0,22.25,14,2.0625,0
45,ant,1.5,org.apache.tools.ant.types.selectors.ContainsSelector,7,5,0,9,28,0,4,5,7,0.708333,215,0.5,0,0.863636,0.342857,1,4,29.142857,9,2.8571,0
46,ant,1.5,org.apache.tools.ant.Task,23,2,52,117,37,179,114,7,17,0.818182,255,1,4,0.290323,0.246377,1,3,9.73913,4,1.1739,0
47,ant,1.5,org.apache.tools.ant.taskdefs.compilers.Jikes,2,2,0,9,26,1,1,8,2,2,248,0,0,0.958333,1,1,1,123,1,0.5,0
48,ant,1.5,org.apache.tools.ant.taskdefs.BuildNumber,6,3,0,5,34,0,0,5,3,0.866667,237,1,0,0.880952,0.444444,0,0,38,1,0.8333,0
49,ant,1.5,org.apache.tools.ant.taskdefs.compilers.Kjc,4,2,0,10,26,6,1,9,2,1,195,0,0,0.884615,0.5,0,0,47.5,10,3,0
50,ant,1.5,org.apache.tools.ant.filters.util.ChainReaderHelper,9,1,0,14,38,12,3,12,8,0.857143,310,0.142857,1,0,0.259259,0,0,32.666667,1,0.8889,0
51,ant,1.5,org.apache.tools.ant.DirectoryScanner,34,1,1,33,67,437,27,6,21,0.752525,1171,1,2,0,0.257576,0,0,32.911765,23,2.5,0
52,ant,1.5,org.apache.tools.ant.types.selectors.OrSelector,3,5,0,5,14,3,4,2,3,2,52,0,0,0.96875,0.555556,1,1,16.333333,3,1.6667,0
53,ant,1.5,org.apache.tools.ant.input.PropertyFileInputHandler,3,1,0,3,19,0,0,3,2,0.75,104,0.5,0,0,0.666667,0,0,33,1,0.6667,0
54,ant,1.5,org.apache.tools.bzip2.CRC,7,1,0,2,8,0,2,0,1,0.5,1082,0,0,0,0.666667,0,0,153.285714,2,0.8571,0
55,ant,1.5,org.apache.tools.ant.taskdefs.ExecuteWatchdog,8,1,0,8,22,0,5,3,7,0.542857,141,1,1,0,0.34375,0,0,16,5,1.625,0
56,ant,1.5,org.apache.tools.ant.taskdefs.condition.IsSet,3,2,0,5,7,1,1,4,3,0.5,29,1,0,0.818182,0.666667,0,0,8.333333,1,0.6667,0
57,ant,1.5,org.apache.tools.ant.types.Commandline,28,1,0,31,57,266,29,4,24,0.641975,602,1,0,0,0.197531,0,0,20.392857,16,2.25,0
58,ant,1.5,org.apache.tools.ant.types.selectors.NotSelector,3,6,0,6,11,3,4,3,3,2,37,0,0,0.969697,1,2,3,11.333333,2,1.3333,0
59,ant,1.5,org.apache.tools.ant.filters.LineContainsRegExp,8,5,0,9,29,0,1,8,5,0.571429,179,1,0,0.823529,0.375,2,5,21,4,1.125,0
60,ant,1.5,org.apache.tools.ant.taskdefs.LogStreamHandler,2,2,0,9,9,1,5,4,2,2,31,0,0,0.923077,0.666667,0,0,14.5,1,0.5,0
61,ant,1.5,org.apache.tools.tar.TarUtils,8,1,0,1,14,28,1,0,8,2,274,0,0,0,0.45,0,0,33.25,7,2.75,0
62,ant,1.5,org.apache.tools.ant.util.regexp.Regexp,1,1,0,5,1,0,3,2,1,2,3,0,0,0,1,0,0,0,1,1,0
63,ant,1.5,org.apache.tools.ant.util.facade.FacadeTaskHelper,8,1,0,3,18,10,2,1,8,0.535714,108,1,0,0,0.541667,0,0,12,3,1.25,0
64,ant,1.5,org.apache.tools.ant.taskdefs.Mkdir,3,3,0,3,14,1,0,3,3,0.5,82,1,0,0.948718,0.666667,1,1,26,1,0.6667,0
65,ant,1.5,org.apache.tools.ant.types.selectors.SelectSelector,9,6,0,10,24,36,4,7,8,2,104,0,0,0.888889,0.407407,3,8,10.555556,2,1.6667,0
66,ant,1.5,org.apache.tools.ant.util.FileNameMapper,3,1,0,19,3,3,19,0,3,2,3,0,0,0,1,0,0,0,1,1,0
67,ant,1.5,org.apache.tools.ant.taskdefs.Patch,10,3,0,11,36,0,0,11,10,0.694444,236,1,1,0.804348,0.45,1,1,22.2,2,1.4,0
68,ant,1.5,org.apache.tools.ant.taskdefs.Basename,5,3,0,5,13,4,0,5,5,0.75,71,1,0,0.902439,0.533333,0,0,12.6,1,0.8,0
69,ant,1.5,org.apache.tools.ant.taskdefs.StreamPumper,4,1,0,1,10,2,1,0,4,0.866667,93,1,0,0,0.5,0,0,21,5,1.75,0
70,ant,1.5,org.apache.tools.ant.types.RegularExpression,6,3,0,8,21,1,1,7,5,0.8,95,0.666667,2,0.882353,0.6,0,0,14.333333,3,1.3333,0
71,ant,1.5,org.apache.tools.ant.taskdefs.Cvs,1,4,0,2,2,0,1,1,1,2,4,0,0,1,1,0,0,3,0,0,0
72,ant,1.5,org.apache.tools.zip.ZipExtraField,6,1,0,5,6,15,4,1,6,2,6,0,0,0,0.444444,0,0,0,1,1,0
73,ant,1.5,org.apache.tools.ant.util.facade.ImplementationSpecificArgument,3,3,2,6,6,1,5,1,3,0.5,25,1,0,0.882353,0.833333,1,1,7,3,1.3333,0
74,ant,1.5,org.apache.tools.ant.types.selectors.NoneSelector,3,5,1,6,14,3,5,2,3,2,52,0,0,0.96875,0.555556,1,1,16.333333,3,1.6667,0
75,ant,1.5,org.apache.tools.ant.taskdefs.Rename,5,3,0,4,17,0,0,4,5,0.666667,99,1,0,0.902439,0.533333,1,1,18.2,1,0.8,0
76,ant,1.5,org.apache.tools.ant.taskdefs.KeySubst,8,3,0,2,39,10,0,2,8,0.714286,282,1,0,0.840909,0.325,1,1,33.75,4,1.25,0
77,ant,1.5,org.apache.tools.ant.taskdefs.condition.FilesMatch,4,1,0,4,13,0,1,3,4,0.666667,60,1,1,0,0.75,0,0,13.25,1,0.75,0
78,ant,1.5,org.apache.tools.ant.filters.ExpandProperties,4,4,0,4,13,0,1,3,4,0,87,1,0,0.928571,0.75,2,4,20.5,1,0.5,0
79,ant,1.5,org.apache.tools.ant.taskdefs.condition.IsFalse,3,2,0,4,7,0,1,3,3,0,33,1,0,0.818182,0.666667,0,0,9.666667,1,0.6667,0
